ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,holidays,holidays_lower,holidays_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2020-02-22T00:00:00Z,4879.309318520697,2552.073411581352,2552.073411581352,2552.073411581352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552.073411581352,2552.073411581352,2552.073411581352,0,0,0,-7430.0657441949,21464.655716996735,4879.309318520697,4879.309318520697,7431.382730102049
2020-02-23T00:00:00Z,5358.274508814553,-8144.074569303642,-8144.074569303642,-8144.074569303642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8144.074569303642,-8144.074569303642,-8144.074569303642,0,0,0,-18067.937599115226,12690.133681623156,5358.274508814553,5358.274508814553,-2785.8000604890894
2020-02-24T00:00:00Z,5837.2396991084115,-11624.101434293434,-11624.101434293434,-11624.101434293434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11624.101434293434,-11624.101434293434,-11624.101434293434,0,0,0,-21016.440446507477,9160.777744029585,5837.2396991084115,5837.2396991084115,-5786.861735185023
2020-02-25T00:00:00Z,6316.204889402268,-2087.516490370426,-2087.516490370426,-2087.516490370426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2087.516490370426,-2087.516490370426,-2087.516490370426,0,0,0,-9865.295307158265,20693.96823171762,6316.204889402268,6316.204889402268,4228.688399031842
2020-02-26T00:00:00Z,6795.170079696124,3550.6262555125477,3550.6262555125477,3550.6262555125477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.6262555125477,3550.6262555125477,3550.6262555125477,0,0,0,-4419.99331864615,26385.243129229373,6795.170079696124,6795.170079696124,10345.796335208672
2020-02-27T00:00:00Z,7274.135269989981,7696.00135411622,7696.00135411622,7696.00135411622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7696.00135411622,7696.00135411622,7696.00135411622,0,0,0,-1124.270098399428,30367.017922009043,7274.135269989981,7274.135269989981,14970.1366241062
2020-02-28T00:00:00Z,8033.227725668836,8056.991472767704,8056.991472767704,8056.991472767704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8056.991472767704,8056.991472767704,8056.991472767704,0,0,0,474.61114835060295,30242.881080506857,8033.227725668836,8033.227725668836,16090.21919843654
2020-02-29T00:00:00Z,8792.320181347683,2552.0734115779514,2552.0734115779514,2552.0734115779514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552.0734115779514,2552.0734115779514,2552.0734115779514,0,0,0,-3562.4842714853867,26946.90314328359,8792.320181347683,8792.320181347683,11344.393592925633
2020-03-01T00:00:00Z,9551.41263702653,-8144.074569277389,-8144.074569277389,-8144.074569277389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8144.074569277389,-8144.074569277389,-8144.074569277389,0,0,0,-15073.37047734683,15731.240170116433,9551.41263702653,9551.41263702653,1407.3380677491405
2020-03-02T00:00:00Z,10310.50509270538,-11624.10143429092,-11624.10143429092,-11624.10143429092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11624.10143429092,-11624.10143429092,-11624.10143429092,0,0,0,-15571.476511416193,13791.655428864457,10310.50509270538,10310.50509270538,-1313.5963415855404
2020-03-03T00:00:00Z,11069.597548384227,-2087.516490364153,-2087.516490364153,-2087.516490364153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2087.516490364153,-2087.516490364153,-2087.516490364153,0,0,0,-6117.650075773816,23892.84987523181,11069.597548384227,11069.597548384227,8982.081058020074
2020-03-04T00:00:00Z,11828.690004063077,3550.626255498636,3550.626255498636,3550.626255498636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.626255498636,3550.626255498636,3550.626255498636,0,0,0,869.6977795632073,30027.253001208675,11828.690004063077,11828.690004063077,15379.316259561714
2020-03-05T00:00:00Z,13156.498475012018,7696.001354113503,7696.001354113503,7696.001354113503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7696.001354113503,7696.001354113503,7696.001354113503,0,0,0,4921.004772420413,34877.23800786467,13156.498475012018,13156.498475012018,20852.49982912552
2020-03-06T00:00:00Z,14484.306945960952,8056.991472763016,8056.991472763016,8056.991472763016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8056.991472763016,8056.991472763016,8056.991472763016,0,0,0,7960.293755635876,36951.00926344744,14484.306945960952,14484.306945960952,22541.298418723967
2020-03-07T00:00:00Z,15812.115416909886,2552.073411563829,2552.073411563829,2552.073411563829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552.073411563829,2552.073411563829,2552.073411563829,0,0,0,3327.3099875714943,33300.277505564176,15812.115416909886,15812.115416909886,18364.188828473714
2020-03-08T00:00:00Z,17139.923887858826,-8144.074569287649,-8144.074569287649,-8144.074569287649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8144.074569287649,-8144.074569287649,-8144.074569287649,0,0,0,-6850.179622943941,24963.41249434985,17139.923887858826,17139.923887858826,8995.849318571178
2020-03-09T00:00:00Z,18467.73235880776,-11624.101434306142,-11624.101434306142,-11624.101434306142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11624.101434306142,-11624.101434306142,-11624.101434306142,0,0,0,-8013.663817687033,21824.61151328351,18467.73235880776,18467.73235880776,6843.630924501618
2020-03-10T00:00:00Z,19795.540829756694,-2087.516490356978,-2087.516490356978,-2087.516490356978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2087.516490356978,-2087.516490356978,-2087.516490356978,0,0,0,2079.7879028397097,33386.779910973164,19795.540829756694,19795.540829756694,17708.024339399715
2020-03-11T00:00:00Z,21433.40985210015,3550.6262555021353,3550.6262555021353,3550.6262555021353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.6262555021353,3550.6262555021353,3550.6262555021353,0,0,0,9113.780135106043,40522.589097673655,21433.40985210015,21433.40985210015,24984.036107602285
2020-03-12T00:00:00Z,23071.278874443626,7696.001354117943,7696.001354117943,7696.001354117943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7696.001354117943,7696.001354117943,7696.001354117943,0,0,0,15670.795362174622,47031.55497841517,23071.278874443626,23071.278874443626,30767.28022856157
2020-03-13T00:00:00Z,24709.147896787083,8056.991472768252,8056.991472768252,8056.991472768252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8056.991472768252,8056.991472768252,8056.991472768252,0,0,0,18349.378251055994,47501.14941920272,24709.147896787083,24709.147896787083,32766.139369555334
2020-03-14T00:00:00Z,26347.01691913054,2552.0734115604287,2552.0734115604287,2552.0734115604287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552.0734115604287,2552.0734115604287,2552.0734115604287,0,0,0,14110.734072268797,42951.73978559686,26347.01691913054,26347.01691913054,28899.090330690968
2020-03-15T00:00:00Z,27984.885941474015,-8144.074569293209,-8144.074569293209,-8144.074569293209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8144.074569293209,-8144.074569293209,-8144.074569293209,0,0,0,4443.680924802052,34120.48416174035,27984.885941474015,27984.885941474015,19840.811372180804
2020-03-16T00:00:00Z,29622.75496381747,-11624.101434303631,-11624.101434303631,-11624.101434303631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11624.101434303631,-11624.101434303631,-11624.101434303631,0,0,0,2605.75195834382,33290.86946740647,29622.75496381747,29622.75496381747,17998.65352951384
